Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,WA,2022,"12        ",Male,18,Right-Handed,177,,,1,Car,15,.332,41,"Football (American)",,,,,,,,"Same length",,,"Same length",September,Spring,No,No,Meat,"Sports drink","Physical education",6,4,5,"Yes - broadband connection","Cell phone",,,,,,,,,,,,,,,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Rich,"Sports person","Arts, culture, sports"
USA,WA,2024,"11        ",Female,16,Right-Handed,16918,26.67,54.4,1,Walk,10min,2.848,29,Basketball,401,316,807,545,102,711,26.67,"Same length",7.2,7.6,"Index finger",March,Winter,Yes,No,Salads,Water,English,5hor,6hor,6,"Yes - dial-up connection","Text messaging",36,42,0,1hora,30min,siemp,0,0,1hora,1hora,30min,30min,0,40min,None,Other,"Rap/Hip hop",Fly,Happy,"Musician or singer","International aid"
USA,WA,2023,"11        ",Male,17,Ambidextrous,,,,2,Car,15,0.345,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WA,2019,"12        ",Female,17,Right-Handed,152,22,149,2,Car,10,0.389,39,Walking/Hiking,1000,1000,1000,600,300,500,22,"Same length",65,70,"Ring finger",April,Spring,No,No,"No favorite",Water,Science,8,10,5,"Yes - other","In person",10,10,3,0,3,5,1,1,3,3,1,1,0,4,"A lot","Graduate degree",Other,"Freeze time",Happy,Other,Environment
USA,WA,2022,"12        ",Male,17,Right-Handed,177,26,,1,Bus,35,.755,34,Swimming,250,500,250,0,750,1000,26,"Same length",76,76,"Same length",December,Winter,Yes,No,"Rice/Noodle dishes","Soft drink (caffeinated)","Mathematics and statistics",5,12,5,"Yes - other","Internet chat or instant messaging",441,234,1,0,2,3,0,20,10,8,64,40,0,10,Some,"High school",Pop,"Freeze time",Happy,Relative,Other
USA,WA,2020,"12        ",Female,16,Left-Handed,160,22,160,2,Walk,10,1.4,64,Walking/Hiking,1000,500,100,200,0,300,22,"Same length",80,80,"Same length",June,Fall,No,No,Pizza/Pasta,Water,Art,"2 ",14,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",35,30,8,5,10,12,2,1,60,20,40,20,5,7,"A lot","Some college",Pop,Invisibility,Rich,Relative,Health
USA,WA,2023,"11        ",Male,17,Left-Handed,185,25,290,1,Car,5,0.383,64,Athletics,500,500,200,150,0,100,25,"Same length",70,65,"Index finger",October,Spring,No,Yes,Poultry,"Energy drink",Other,3,6,6,"Yes - other","In person",25,27,1,1,0,2,1,1,2,3,3,2,1,2,None,"Undergraduate degree",Country,Invisibility,Happy,Other,Other
USA,WA,2024,"11        ",Female,16,Right-Handed,170,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WA,2022,"11        ",Female,16,Right-Handed,162.6,25.4,149.9,2,Car,15-20,0.316,39,"Martial Arts",1000,492,594,332,487,765,25.4,"Same length",63.5,76.2,"Ring finger",April,Summer,Yes,No,Meat,Water,Art,6,4,4,"Yes - broadband connection","Internet chat or instant messaging",5,6,1,0,2,1,0,4,5,1,1,0,20,1,"A lot","Graduate degree",Country,Fly,Happy,Relative,"International aid"
USA,WA,2023,"11        ",Male,17,Right-Handed,173.7,30,173.7,1,Car,5,0.45,36,Other,872,754,572,572,37,273,31,"Left foot",75,85,"Index finger",January,Fall,No,No,"Rice/Noodle dishes",Tea,Art,8,10,2,"Yes - other","Cell phone",15,15,,,,,,,,,,,,,"A lot","Some college",Pop,Invisibility,Rich,Actor,"Wildlife, animals"
