Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2016,"12        ",Female,16,Right-Handed,151,25,28,2,Car,10,0.879,47,Other,1000,1000,1000,1000,,,25,"Same length",30,30,"Same length",April,Fall,Yes,No,Poultry,"Soft drink (caffeinated)",English,5,12,7,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",458,567,9,1,6,0,15,0,8,30,40,2,0,4,"A lot","Graduate degree","Rock and roll",Telepathy,Happy,"Doctor or nurse","Wildlife, animals"
USA,TX,2016,"12        ",Male,17,Right-Handed,167,25,164,2,Car,25,.327,33,Soccer,500,500,900,100,700,800,24,"Right foot",76,85,"Ring finger",November,Fall,No,No,Meat,Water,"Physical education",6,10,6,"Yes - broadband connection","Internet chat or instant messaging",50,50,4,2,20,7,8,20,5,9,12,2,0,6,Some,"Graduate degree",Techno/Electronic,"Freeze time",Happy,Relative,Health
USA,TX,2024,"12        ",Female,16,Right-Handed,170,26,162,1,Car,25,0.258,38,Athletics,1000,789,1000,1000,185,879,25,"Right foot",81,85,"Ring finger",September,Spring,No,No,Fruit,Water,English,7,6,2,"Yes - other","In person",40,70,5,1,3,2,8,0,0,5,20,20,20,5,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,"Wildlife, animals"
USA,TX,2019,"12        ",Male,17,Right-Handed,150,29,188,one,Car,15,.318,40,Swimming,250,250,300,500,750,1000,29,"Same length",80,80,"Same length",February,Winter,Yes,No,Meat,Tea,Art,6,5,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",200+,200+,2,1,3,2,10,24,5,19,52,0,50,1,Some,"Some college",Techno/Electronic,"Freeze time",Happy,Other,Health
USA,TX,2019,"12        ",Female,22,Right-Handed,5'7,26.67,237.8,2,Bus,20,0.431,32,Swimming,1000,1000,1000,1000,500,1000,27.17,"Left foot",88.9,114.3,"Ring finger",October,Fall,Yes,No,Pizza/Pasta,Water,English,6,6,4,"Yes - broadband connection","Cell phone",50,30,10,5,20,3,5,0,20,50,50,5,20,10,"A lot","Graduate degree",Pop,Fly,Happy,Relative,"Education/Youth development"
USA,TX,2023,"12        ",Female,16,Right-Handed,154.9,198.1,120.6,1,Car,5,0.349,50,Other,,,,,,,198,"Same length",69,69,"Same length",June,Fall,No,No,Meat,Tea,"Physical education",7,9,4,"Yes - other","Text messaging",50,50,1,,,,,,,,,,,,,,,,,,
USA,TX,2019,"12        ",Female,18,Right-Handed,5'3,23.5,61,2,Car,50,.42,37,Soccer,1000,1000,800,900,900,1000,23.5,"Same length",63,75,"Ring finger",June,Fall,No,No,Other,Water,English,7,9,5,"Yes - broadband connection","Cell phone",20,35,20,25,30,20,0,0,30,30,15,0,0,0,"A lot","Graduate degree",Other,Invisibility,Rich,Relative,Other
USA,TX,2017,"11        ",Female,15,Ambidextrous,161,24.5,173,1,Car,10,.604,52,Athletics,500,500,750,750,300,400,23.5,"Right foot",80,73,"Index finger",June,Fall,No,No,"Rice/Noodle dishes",Water,Science,8,9,4,"Yes - other","In person",10,8,20,1,3,2,6,0,10,2,5,15,0,3,Some,"Graduate degree",Country,Telepathy,Healthy,Teacher,"Education/Youth development"
USA,TX,2016,"12        ",Female,17,Left-Handed,,,,,Car,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,"A lot","Graduate degree",Pop,Fly,Happy,,"International aid"
USA,TX,2015,"5         ",Male,11,Ambidextrous,"170 ",25,170,3,Walk,10,0.413,62,Soccer,1000,989,1000,1000,0,0,25,"Same length",9,9,"Same length",September,Spring,Yes,No,Salads,Water,"Mathematics and statistics",7,10,5,"Yes - broadband connection","Text messaging",1889,1855,14,1,1,5,16,0,6,13,18,0,14,0,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,Health
