Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
VA,Male,Right-Handed,Bowling,1000.0,April,Soft drink (caffeinated),Art,10.0,12.0,12.0,Undergraduate degree
VA,Male,Right-Handed,Baseball/Softball,300.0,July,Soft drink (caffeinated),Science,10.0,0.0,2.0,Graduate degree
VA,Female,Right-Handed,Football (American),100.0,May,Water,Science,9.0,25.0,25.0,Graduate degree
VA,Female,Right-Handed,Gymnastics,900.0,December,Soft drink (caffeinated),Other,8.0,15.0,15.0,Graduate degree
VA,Female,Right-Handed,Soccer,100.0,September,Water,History,6.0,10.0,0.0,Graduate degree
VA,Female,Right-Handed,Walking/Hiking,800.0,May,Milk,English,9.0,15.0,2.0,Graduate degree
VA,Male,Right-Handed,Soccer,925.0,May,Water,Other,9.0,0.0,2.0,Some college
VA,Female,Right-Handed,Other activities/sports,679.0,September,Water,Social studies,10.0,0.0,0.0,Graduate degree
VA,Female,Right-Handed,Other activities/sports,800.0,September,Water,Music,10.0,0.0,0.0,Graduate degree
VA,Female,Right-Handed,Other activities/sports,824.0,November,Water,Science,6.0,26.0,2.0,Other
VA,Male,Right-Handed,Other activities/sports,1000.0,April,Water,History,5.0,0.0,0.0,High school
VA,Male,Right-Handed,Basketball,406.0,March,Water,Mathematics and statistics,5.0,0.0,0.0,Graduate degree
VA,Male,Right-Handed,Baseball/Softball,390.0,October,Water,Mathematics and statistics,9.0,0.0,0.0,Less than high school
VA,Female,Right-Handed,Soccer,800.0,February,Water,Science,6.0,6.0,2.0,Graduate degree
VA,Male,Right-Handed,Basketball,75.0,May,Water,History,4.0,20.0,20.0,Graduate degree
VA,Male,Right-Handed,Basketball,950.0,April,Tea,Other,11.0,28.0,28.0,Graduate degree
VA,Male,Right-Handed,Athletics (Track & Field),0.0,May,Water,History,9.0,8.0,8.0,Undergraduate degree
VA,Male,Right-Handed,Table Tennis,850.0,November,Tea,Science,8.0,25.0,2.0,Graduate degree
VA,Female,Right-Handed,Lacrosse,900.0,December,Water,English,10.0,0.0,0.0,Graduate degree
VA,Male,Right-Handed,Other activities/sports,684.0,August,Water,Music,6.0,20.0,2.0,Graduate degree
VA,Male,Right-Handed,Cycling,914.0,February,Juice,Computers and technology,8.0,0.0,2.0,Some college
VA,Female,Right-Handed,Running/Jogging,1000.0,November,Water,Computers and technology,7.0,10.0,3.0,Graduate degree
VA,Male,Right-Handed,Lacrosse,700.0,February,Water,History,9.0,0.0,0.0,Graduate degree
VA,Female,Right-Handed,Soccer,551.0,November,Tea,English,9.0,16.0,16.0,Undergraduate degree
VA,Female,Right-Handed,Dancing,950.0,January,Water,Science,10.0,4.0,2.0,Graduate degree
VA,Female,Right-Handed,Baseball/Softball,250.0,March,Water,Mathematics and statistics,9.0,0.0,0.0,Graduate degree
VA,Male,Right-Handed,Rowing,556.0,March,Sports drink,History,8.0,2.0,2.0,Undergraduate degree
VA,Female,Right-Handed,Walking/Hiking,1000.0,December,Coffee,Social studies,5.0,1.0,1.0,Some college
VA,Female,Right-Handed,Dancing,513.0,January,Tea,History,9.0,2.0,2.0,Undergraduate degree
VA,Female,Right-Handed,Dancing,1000.0,March,Coffee,Geography,10.0,20.0,20.0,Other
VA,Female,Right-Handed,Dancing,100.0,April,Water,English,10.0,25.0,25.0,Graduate degree
VA,Female,Right-Handed,Walking/Hiking,900.0,October,Water,Music,9.0,0.0,0.0,Undergraduate degree
VA,Female,Right-Handed,Other activities/sports,684.0,December,Water,Social studies,9.5,3.0,2.0,Graduate degree
VA,Female,Right-Handed,Other activities/sports,100.0,April,Soft drink (caffeinated),Science,10.0,24.0,24.0,Graduate degree
VA,Female,Right-Handed,Other activities/sports,888.0,November,Water,Social studies,12.0,15.0,2.0,Graduate degree
VA,Female,Right-Handed,Other activities/sports,182.0,September,Water,Social studies,8.0,30.0,30.0,Graduate degree
VA,Male,Right-Handed,Baseball/Softball,500.0,April,Water,Mathematics and statistics,9.0,0.0,3.0,Graduate degree
VA,Female,Right-Handed,Soccer,600.0,December,Water,Mathematics and statistics,9.0,8.0,2.0,Graduate degree
VA,Male,Right-Handed,Football (American),700.0,September,Juice,Mathematics and statistics,5.0,0.0,0.0,Some college
VA,Male,Left-Handed,Football (American),400.0,August,Water,Physical education,6.0,30.0,0.0,Graduate degree
VA,Female,Left-Handed,Walking/Hiking,449.0,January,Water,Art,6.0,0.0,0.0,Undergraduate degree
VA,Female,Right-Handed,Athletics (Track & Field),797.0,July,Tea,English,11.0,20.0,0.0,Graduate degree
VA,Male,Right-Handed,Baseball/Softball,472.0,April,Milk,History,10.0,5.0,2.0,Some college
VA,Female,Right-Handed,Walking/Hiking,0.0,May,Water,Languages,8.0,0.0,0.0,Graduate degree
VA,Female,Right-Handed,Dancing,1000.0,November,Water,Music,7.0,0.0,2.0,Graduate degree
VA,Male,Right-Handed,Martial Arts,1000.0,June,Energy drink,History,8.0,2.0,2.0,Graduate degree
VA,Male,Right-Handed,Soccer,1000.0,August,Water,Computers and technology,7.5,25.0,2.0,Graduate degree
VA,Male,Right-Handed,Soccer,500.0,April,Water,Computers and technology,4.0,5.0,5.0,Graduate degree
VA,Female,Right-Handed,Other activities/sports,900.0,November,Tea,History,5.0,0.0,0.0,Graduate degree
VA,Male,Right-Handed,Skateboarding/Rollerblading,1000.0,April,Water,Mathematics and statistics,6.0,0.0,0.0,Undergraduate degree
VA,Male,Ambidextrous,Basketball,500.0,October,Water,History,10.0,4.0,2.0,Graduate degree
VA,Male,Right-Handed,Golf,550.0,May,Milk,Computers and technology,7.0,5.0,5.0,Graduate degree
VA,Male,Right-Handed,Basketball,626.0,December,Sports drink,Computers and technology,5.0,15.0,15.0,Graduate degree
VA,Female,Right-Handed,Baseball/Softball,1000.0,October,Water,History,5.0,0.0,0.0,Other
VA,Male,Right-Handed,Table Tennis,1000.0,May,Energy drink,Mathematics and statistics,7.5,40.0,3.0,Graduate degree
VA,Male,Right-Handed,Football (American),500.0,May,Water,Science,8.0,0.0,2.0,Graduate degree
VA,Male,Right-Handed,Soccer,900.0,September,Water,Mathematics and statistics,9.0,0.0,0.0,Graduate degree
VA,Male,Right-Handed,Football (American),700.0,October,Water,Science,8.0,24.0,24.0,Some college
