Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
"USA,VA,2014,""12        "",Male,17,Right-Handed,177.8,28,190,1,Car,17,.323,46,Walking/Hiking,400,1000,300,300,1000,800,28,""Same length"",83,85,""Ring finger"",February,Spring,No,No,Pizza/Pasta,Water,""Computers and technology"",7,10,4,""Yes - broadband connection"",""In person"",250,250,24,9,8,12,9,10,4,14,21,3,30,4,""A lot"",""Graduate degree"",""Rock and roll"",""Freeze time"",Happy,""Business person"",Environment"
"USA,VA,2019,""12        "",Male,17,Left-Handed,172,30,165,1,Car,25,0.438,33,""Football (American)"",1000,1000,1000,200,200,500,29,""Right foot"",90,95,""Ring finger"",September,Fall,No,No,""Rice/Noodle dishes"",Water,Science,7,5,10,""Yes - broadband connection"",""Cell phone"",30,50,10,30,10,2,1,0,2,4,8,0,0,15,Some,""Graduate degree"",""Heavy metal"",Telepathy,Happy,Friend,Environment"
"USA,VA,2013,""11        "",Male,17,Right-Handed,123,30.1,120,1,Bus,10,.34,40,Basketball,740,650,500,850,450,800,29.8,""Right foot"",9.1,8.3,""Index finger"",December,Summer,No,Yes,Other,""Sports drink"",History,8,11,2,""Yes - other"",""Cell phone"",400,350,20,3,0,15,16,10,7,19,11,5,25,16,None,""Some college"",""Rap/Hip hop"",Telepathy,Rich,""Sports person"",Health"
"USA,VA,2022,""12        "",Male,17,Right-Handed,170,27,160,2,Car,15,0.291,44,Tennis,0,0,0,0,500,1000,27,""Same length"",69,67,""Ring finger"",December,Fall,Yes,No,Desserts,Water,""Mathematics and statistics"",5,10,2,""Yes - broadband connection"",""Cell phone"",21,18,2,2,4,2,1,12,0,1,50,0,10,2,Some,""Graduate degree"",Pop,""Freeze time"",Happy,Friend,Health"
"USA,VA,2018,""11        "",Male,16,Right-Handed,174.7,27,174.7,1,Bus,3,0.361,34,Soccer,755,781,770,761,551,481,27,""Same length"",81,76,""Index finger"",February,Winter,Yes,No,Meat,Water,Music,8,10,5,""Yes - broadband connection"",""Myspace, Facebook, other social networking sites, or blog"",2,2,5,1,1,3,12,10,2,2,10,2,0,2,Some,""Graduate degree"",""Rap/Hip hop"",Fly,Happy,Relative,Other"
"USA,VA,2015,""12        "",Male,17,Right-Handed,174,28,162,2,Car,20,.4994,57,Basketball,700,600,1000,700,600,900,28,""Same length"",70,70,""Same length"",October,Winter,No,No,Meat,Water,""Social studies"",7,7,5,""Yes - other"",""In person"",15,14,3,1,6,24,17,1,1,2,1,2,0,1,Some,""Graduate degree"",""Rap/Hip hop"",Telepathy,Happy,""Sports person"",""Arts, culture, sports"""
"USA,VA,2014,""12        "",Female,17,Right-Handed,171,23,171,2,Walk,12,.486,38,Other,750,750,750,750,750,750,25,""Left foot"",70,80,,March,Fall,Yes,No,""No favorite"",Tea,Art,6,9,3,""Yes - broadband connection"",""Text messaging"",20,30,2,1,6,2,2,0,3,6,2,3,0,2,""A lot"",Other,Other,Telepathy,Rich,""Doctor or nurse"",""Arts, culture, sports"""
"USA,VA,2018,""11        "",Female,17,Right-Handed,162.6,24,170.2,1,Car,2,0.305,35,Soccer,800,400,500,600,200,300,24,""Same length"",65,68,""Ring finger"",February,Fall,No,Yes,Pizza/Pasta,Water,Science,6,6,4,""Yes - broadband connection"",""Text messaging"",2,2,0,0,8,0,4,0,0,2,8,12,6,2,Some,""Graduate degree"",""Rock and roll"",Invisibility,Happy,Teacher,""Education/Youth development"""
"USA,VA,2021,""12        "",Male,17,Right-Handed,185.4,28.6,213,1,Car,25,0.149,51,""Football (American)"",1000,1000,1000,1000,15,1000,28.6,""Right foot"",6,49,""Index finger"",March,Summer,No,No,Seafood,""Sports drink"",""Physical education"",7,10,4,""Yes - dial-up connection"",""Internet chat or instant messaging"",4,7,2,4,2,1,4,1,4,2,6,0,0,0,Some,""Graduate degree"",""Rap/Hip hop"",Telepathy,Healthy,""Sports person"",Environment"
"USA,VA,2018,""12        "",Male,17,Right-Handed,170.2,26,169,2,Bus,""7 "",.295,33,Soccer,750,500,500,750,1000,1000,25,""Right foot"",80,90,""Same length"",May,Summer,No,No,Pizza/Pasta,""Sports drink"",History,7,5,7,""Yes - other"",""Text messaging"",50,50,8,12,12,12,12,12,24,24,24,12,8,24,""A lot"",""Graduate degree"",""Rap/Hip hop"",Fly,Rich,Relative,""International aid"""
"USA,VA,2019,""12        "",Female,17,Right-Handed,,,163,1,Car,5,,,Dancing,1000,1000,1000,800,400,600,,,83,76,""Index finger"",August,Fall,No,Yes,Pizza/Pasta,Water,Music,8,8,3,""Yes - other"",""In person"",10,13,5,.5,8,5,1,0,12,2,1,6,5,1,""A lot"",""Undergraduate degree"",Pop,Telepathy,Happy,""Musician or singer"",""Wildlife, animals"""
"USA,VA,2018,""4         "",Female,17,Right-Handed,168,25,173,1,Bus,25,.395,37,Walking/Hiking,400,500,300,300,200,600,25,""Same length"",70,75,""Ring finger"",May,Winter,Yes,No,Meat,Water,History,7.5,8,4,""Yes - other"",""Myspace, Facebook, other social networking sites, or blog"",4,8,5,.5,13,2,12,0,5,2,10,3,0,0,Some,""Graduate degree"",Country,Invisibility,Happy,Relative,""Education/Youth development"""
"USA,VA,2022,""12        "",Male,17,Right-Handed,182.8,25.4,178.3,1,Car,7,0.328,57,""Football (American)"",900,900,900,900,900,950,26.7,""Left foot"",76.2,88.9,""Ring finger"",March,Fall,Yes,No,Meat,Water,Science,8,10,4,""Yes - other"",""Myspace, Facebook, other social networking sites, or blog"",20,15,12,1,15,6,13,1,21,3,21,3,0,4,""A lot"",""Graduate degree"",""Punk rock"",Telepathy,Happy,""Coach or club leader"",Religious"
"USA,VA,2018,""12        "",Female,17,Right-Handed,160.0,25.1,,1,,30,0.314,37,Other,604,481,743,909,572,1000,,,,,,June,Summer,No,No,""No favorite"",Juice,""Physical education"",6,3,4,""Yes - broadband connection"",""Cell phone"",20,30,30,3,2,1,9,0,5,4,6,0,10,3,""A lot"",""Graduate degree"",""Rhythm and blues (R&B)"",Telepathy,Healthy,""Musician or singer"",""Arts, culture, sports"""
"USA,VA,2023,""12        "",Male,16,Right-Handed,183,27.5,192,1,Walk,15,0.328,51,Swimming,367,200,400,700,900,900,27,""Right foot"",80,90,""Ring finger"",March,Spring,No,No,Meat,Water,""Mathematics and statistics"",10,12,3,""Yes - broadband connection"",""Text messaging"",30ish,30ish,5,7,7,7,15,5,0,10,12,3,0,7,Some,""Graduate degree"",""Rap/Hip hop"",Telepathy,Happy,""Business person"",Health"
"USA,VA,2016,""12        "",Female,17,Right-Handed,162.5,23.8,152.4,1,Car,20,0.373,48,Athletics,513,428,1000,551,701,561,23.8,""Right foot"",90,60,""Ring finger"",November,Fall,No,No,Seafood,Water,""Social studies"",5,10,4,""Yes - broadband connection"",""Text messaging"",20,25,10,1,10,21,10,0,6,12,12,20,0,9,Some,""Graduate degree"",""Rhythm and blues (R&B)"",Telepathy,Happy,Relative,""Education/Youth development"""
"USA,VA,2014,""12        "",Female,18,Left-Handed,168,24,170,1,Car,7,.429,45,Rowing,610,620,465,749,631,658,23,""Right foot"",7.7,8,""Ring finger"",July,Spring,Yes,No,Pizza/Pasta,Milk,""Computers and technology"",8,7,3,""Yes - broadband connection"",""Text messaging"",500,500,34,5,6,15,4,2,6,25,15,30,20,10,""A lot"",""Graduate degree"",Country,Telepathy,Happy,Relative,""Arts, culture, sports"""
"USA,VA,2024,""8         "",Female,13,,166,24,166,1,Bus,12,0.556,50,Dancing,1000,900,800,900,500,800,24,""Same length"",90,85,""Index finger"",October,Fall,No,No,Fruit,Water,""Mathematics and statistics"",9,9,5,""Yes - broadband connection"",""Text messaging"",20,27,14,5,3,6,12,3,4,7,34,8,0,5,Some,""Undergraduate degree"",Pop,Telepathy,Happy,Relative,""Arts, culture, sports"""
"USA,VA,2014,""12        "",Male,16,Right-Handed,170.2,29.3,184.2,1,Car,9,0.365,43,""Football (American)"",497,840,599,882,952,952,29.9,""Left foot"",90,98,""Ring finger"",December,Fall,No,No,Seafood,Water,English,7,9,4,""Yes - broadband connection"",""Text messaging"",250,250,9,0.5,8,4,16,3,2,10,3,8,0,4,""Very little"",""Graduate degree"",""Rap/Hip hop"",Invisibility,Happy,""Sports person"",""Arts, culture, sports"""
"USA,VA,2021,""12        "",Female,17,Right-Handed,162.5,24.1,,2,Car,10,2.119,40,Soccer,1000,1000,1000,1000,0,0,24.1,""Same length"",8,10,,July,Summer,Yes,No,""Rice/Noodle dishes"",Water,Science,6,12,4,""Yes - other"",""Text messaging"",29,40,10,2,2,14,4,2,2,1,2,2,0,4,""A lot"",""Graduate degree"",Pop,Invisibility,Rich,Relative,""International aid"""
