Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,VA,2017,"12        ",Female,17,Right-Handed,166,24,166,2,Car,25,.426,36,Skateboarding/Rollerblading,560,690,700,600,900,1000,24,"Same length",66,76,"Ring finger",January,Winter,Yes,No,"Rice/Noodle dishes","Soft drink (caffeinated)",Other,5,6,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",600,600,7,3,5,0,0,4,20,20,35,1,40,1,"A lot","High school","Heavy metal",Invisibility,Healthy,Friend,"Wildlife, animals"
USA,VA,2016,"12        ",Female,17,Right-Handed,157.5,26,136,1,Car,10,0.261,31,Soccer,200,300,200,500,400,950,26,"Same length",6.5,7,"Ring finger",December,Spring,Yes,No,Seafood,Water,English,6,9,4,"Yes - broadband connection","Text messaging",100,115,8,1,8,4,7,0,,,,,,,,,,,,,
USA,VA,2019,"11        ",Female,14,Right-Handed,157,25,,1,Bus,45,0.475,39,Other,,,,,,,,"Same length",,,"Index finger",April,Spring,No,No,Soups,"Soft drink (non-caffeinated)",Science,7,9,3,"Yes - broadband connection","Text messaging",15,12,,,5,5,,0,,,,,,,Some,"Graduate degree","Rock and roll",Telepathy,Happy,"Sports person",Health
USA,VA,2014,"12        ",Male,15,Right-Handed,178,25,180,1,Car,10,0.393,52,Other,900,500,1000,1000,1000,1000,24,"Right foot",70,73,"Ring finger",February,Winter,No,No,Pizza/Pasta,"Soft drink (caffeinated)",History,7,10,4,"Yes - broadband connection","Text messaging",6,7,6,1,12.5,7,0,10,9,2,15,3.5,0,7,"A lot","Graduate degree",Pop,Telepathy,Rich,Politician,Health
USA,VA,2017,"12        ",Male,16,Ambidextrous,175,24.5,182,1,Bus,50,.446,49.3,None,401,487,150,374,118,1000,24,"Right foot",85,86,"Ring finger",May,Summer,No,No,Pizza/Pasta,"Sports drink",Music,9,8,3,"Yes - broadband connection","Internet chat or instant messaging",3,5,2,0,.05,0,0,2,0,21,1,30,0,0,None,"High school",Other,Invisibility,Rich,"Musician or singer","Arts, culture, sports"
USA,VA,2017,"11        ",Female,"16 ",Right-Handed,185.4,26,160,"1 ",Car,"7 ",0.78,52,Basketball,"500 ","350 ",1000,"940 ",700,"570 ",25,"Right foot","70 ","80 ","Ring finger",January,Summer,Yes,No,Meat,Water,History,7,10,5,"Yes - broadband connection","Cell phone","70 ","150 ",3,7,"10 ",2,21,0,15,7,8,6,0,0,"A lot",Other,"Rap/Hip hop",Telepathy,Happy,Relative,Health
USA,VA,2017,"12        ",Male,18,Right-Handed,181,27,187,2,Car,15,.369,47,Baseball/Softball,529,524,497,567,834,1000,27,"Same length",82,93,"Ring finger",February,Summer,Yes,No,Pizza/Pasta,Water,"Physical education",7,10,5,"Yes - broadband connection","Text messaging",97,112,11,1,7,9,16,2,15,40,20,20,0,6,Some,"Graduate degree","Rap/Hip hop","Super strength",Rich,"Sports person","Arts, culture, sports"
USA,VA,2024,"12        ",Female,17,Right-Handed,174,22,157,1,Car,26,.366,38,Other,1000,500,400,700,1000,1000,21.5,"Right foot",70,70,"Same length",August,Summer,Yes,No,Meat,Water,Science,5,9,4,"Yes - broadband connection","Cell phone",49,90,7,4,13,20,0,6,10,2,23,10,10,4,Some,"Graduate degree",Other,"Freeze time",Rich,Relative,"International aid"
USA,VA,2016,"12        ",Female,17,Right-Handed,"60 ",,,1,Car,5,,,Walking/Hiking,,,,,,,,,,,"Ring finger",August,Fall,Yes,No,Seafood,Water,,7,8,6,"Yes - broadband connection","Text messaging",50,60,,,,,,,,,,,,,Some,"Some college",Country,Telepathy,Happy,Relative,Health
USA,VA,2023,"12        ",Male,17,Right-Handed,155.4,26.7,77.7,2,Walk,10.00,0.42,25,"Football (American)",684,497,503,754,535,535,26.7,"Same length",30,30,"Same length",September,Summer,No,No,Meat,Juice,"Physical education",7,9,7,"Yes - other","Text messaging",150,50,3,2,2,4,3,4,6,5,4,2,0,1,Some,"Graduate degree","Rap/Hip hop",Fly,Rich,"Musician or singer",Health
USA,VA,2018,"4         ",Female,8,Ambidextrous,130,21,130,2,Bus,15,12,15,Gymnastics,0,0,500,1,0,0,21,"Left foot",80,60,"Index finger",June,Spring,No,No,Meat,Milk,"Mathematics and statistics",4,4,3,"Yes - dial-up connection","In person",0,0,100,0,12,1,3,0,0,0,30,20,0,3,"A lot",Other,Other,Telepathy,Happy,Actor,"Wildlife, animals"
USA,VA,2015,"12        ",Male,18,Right-Handed,177.8,25.4,177.8,1,Car,30,.401,29,Other,791,497,1000,706,1000,1000,26.6,"Left foot",5,6,"Ring finger",June,Fall,No,No,Meat,Water,History,5,9,4,"Yes - other","Text messaging",25,25,5,1,8,2,5,4,9,6,10,3,1,3,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,"Sports person","Arts, culture, sports"
USA,VA,2015,"12        ",Female,18,Right-Handed,168,23,165,2,Car,5,0.441,40,Running/Jogging,1000,1000,1000,1000,0,1000,25,"Left foot",80,80,"Same length",December,Fall,No,No,Seafood,Water,English,7,12,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",8,7,10,0,10,6,10,0,35,40,35,0,0,0,Some,"Graduate degree",Techno/Electronic,Telepathy,Healthy,"Coach or club leader","International aid"
USA,VA,2024,"8         ",Female,14,Right-Handed,180,27,176,1,Bus,"35 mi",0.4,62,Dancing,80,40,30,10,90,99,28,"Left foot",,,,May,Fall,Yes,Yes,"Rice/Noodle dishes",Water,English,8,11,4,"No internet connection","Text messaging",60,56,5,0.8,0,7,7,0,4,2,8,1,5,2,"Very little","Some college",Pop,Invisibility,Rich,Other,Health
USA,VA,2023,"12        ",Male,17,Right-Handed,70,25,70,1/2,Car,10,0.398,60,Baseball/Softball,1000,900,1000,1000,800,700,25,"Same length",9,9,"Ring finger",November,Fall,No,No,Meat,Water,History,6/7,2,3,"Yes - broadband connection","In person",40,62,5,,,,,,,,,,,,,,,,,,
USA,VA,2017,"12        ",Male,17,Right-Handed,162,26,179,1,Bus,30,.313,36,Walking/Hiking,500,200,900,950,800,800,26,"Right foot",8,8,"Ring finger",July,Winter,Yes,No,Seafood,"Soft drink (caffeinated)","Computers and technology",6,12,3,"Yes - broadband connection","Internet chat or instant messaging",1,2,24,24,2,0,1,10,0,0,168,0,0,2,Some,"Graduate degree",Jazz,Telepathy,Rich,Other,"Wildlife, animals"
USA,VA,2019,"12        ",Female,16,Right-Handed,158,25,163,1,Bus,13,0.544,51,Athletics,1000,500,1000,1000,50,250,25,"Same length",8,9,"Ring finger",January,Winter,Yes,No,Fruit,Water,"Mathematics and statistics",6,9,4,"Yes - broadband connection","In person",50,50,50,15,12,8,12,0,50,50,84,21,21,7,Some,"Graduate degree",Pop,Telepathy,Rich,"Business person","Education/Youth development"
USA,VA,2018,"12        ",Female,17,Ambidextrous,165.1,25.8,178,2,Bus,20,.395,34,"Football (American)",1000,1000,1000,1000,500,1000,25.9,"Left foot",72,81,"Ring finger",October,Fall,Yes,No,"Rice/Noodle dishes",Other,Music,,6,5,"Yes - dial-up connection","In person",36,102,35,10,4,4,14,8,2,1,6,8,0,21,Some,"Graduate degree","Rhythm and blues (R&B)",Fly,Rich,Other,Health
