"Region	Gender	Handed	Favourite_physical_activity	Importance_reducing_pollution	Birth_month	Beverage	Favorite_School_Subject	Sleep_Hours_Non_Schoolnight	Paid_Work_Hours	Work_At_Home_Hours	Planned_Education_Level"
"NY	Male	Right-Handed	Hockey_(Field)	1000	October	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	Martial_Arts	800	April	Soft_drink_(non-caffeinated)	Art	8	NA	1	Graduate_degree"
"NY	Female	Right-Handed	Cycling	NA	June	Water	History	9	NA	2	Graduate_degree"
"NY	Female	Right-Handed	Gymnastics	500	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	None	80	April	Water	History	8	NA	1	Some_college"
"NY	Male	Right-Handed	Baseball/Softball	500	January	Water	Social_studies	10	1	5	Some_college"
"NY	Female	Right-Handed	Walking/Hiking	1000	November	Tea	English	7	NA	7	Graduate_degree"
"NY	Male	Right-Handed	Hockey_(Ice)	1000	February	Water	Physical_education	9	4	1	Graduate_degree"
"NY	Male	Left-Handed	Basketball	500	September	Water	History	NA	NA	NA	NA"
"NY	Female	Right-Handed	Gymnastics	706	September	Water	Social_studies	10	5	10	Graduate_degree"
"NY	Female	Right-Handed	Martial_Arts	800	April	Water	Science	8.5	NA	1	Graduate_degree"
"NY	Male	Right-Handed	Other	1000	November	Water	Science	7	NA	NA	NA"
"NY	Male	Right-Handed	Tennis	1000	March	Water	Mathematics_and_statistics	8	NA	0	Undergraduate_degree"
"NY	Female	Right-Handed	Hockey_(Field)	529	November	Tea	Art	11	NA	2	Some_college"
"NY	Male	Right-Handed	Soccer	80	January	Tea	Physical_education	5	8	0	Graduate_degree"
"NY	Female	Right-Handed	Baseball/Softball	1000	December	Water	Mathematics_and_statistics	10	NA	NA	Graduate_degree"
"NY	Male	Right-Handed	Basketball	1000	September	Tea	History	11	48	NA	High_school"
"NY	Male	Right-Handed	Basketball	800	February	Water	Mathematics_and_statistics	NA	NA	13	Graduate_degree"
"NY	Female	Right-Handed	Swimming	1000	December	Water	Science	9	NA	4	Undergraduate_degree"
"NY	Female	Right-Handed	Dancing	500	February	Water	English	11	13	3	Graduate_degree"
"NY	Male	Right-Handed	Skateboarding/Rollerblading	800	June	Water	Science	9	NA	0	Graduate_degree"
"NY	Male	Right-Handed	Tennis	700	December	Water	Mathematics_and_statistics	9	NA	0	Graduate_degree"
"NY	Female	Right-Handed	Tennis	1000	November	Water	English	12	NA	1	Graduate_degree"
"NY	Male	Right-Handed	Baseball/Softball	658	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	Basketball	369	March	Juice	History	10	NA	3	Graduate_degree"
"NY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	Lacrosse	900	August	Water	Physical_education	11	NA	1	Graduate_degree"
"NY	Male	Right-Handed	Soccer	818	March	Water	Science	9	NA	NA	NA"
"NY	Male	Right-Handed	Soccer	700	November	Water	History	8	NA	3	Undergraduate_degree"
"NY	Female	Right-Handed	Hockey_(Field)	800	June	Water	Other	9	NA	0	Graduate_degree"
"NY	Female	Right-Handed	Athletics	1000	August	Water	Mathematics_and_statistics	12	NA	5	Graduate_degree"
"NY	Male	Right-Handed	Martial_Arts	1000	September	Water	Physical_education	10	NA	2	Graduate_degree"
"NY	Female	Right-Handed	Baseball/Softball	845	February	Water	Science	9	NA	7	Graduate_degree"
"NY	Female	Right-Handed	Lacrosse	1000	February	Water	Social_studies	9	NA	7	Graduate_degree"
"NY	Male	Right-Handed	Golf	1000	November	Milk	Other	10	NA	NA	Graduate_degree"
"NY	Female	Right-Handed	Other	1000	February	Water	Mathematics_and_statistics	9	6	3	Graduate_degree"
"NY	Male	Right-Handed	Swimming	1000	March	Juice	Science	9	NA	2	Graduate_degree"
"NY	Male	Right-Handed	Golf	1000	May	Water	Physical_education	9	1	1	Graduate_degree"
"NY	Male	Right-Handed	Football_(American)	487	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Left-Handed	Soccer	900	December	Water	Social_studies	12	NA	5	Graduate_degree"
"NY	Male	Right-Handed	Basketball	NA	May	Soft_drink_(caffeinated)	History	9	NA	0	Graduate_degree"
"NY	Female	Right-Handed	Dancing	1000	June	Tea	Social_studies	4	NA	1	Other"
"NY	Male	Right-Handed	Basketball	500	July	Water	Computers_and_technology	8	NA	2	Undergraduate_degree"
"NY	Female	Right-Handed	Dancing	465	December	Milk	Science	11	NA	3	Graduate_degree"
"NY	Male	Right-Handed	Other	650	March	Water	Social_studies	12	NA	3	Graduate_degree"
"NY	Male	Right-Handed	Soccer	500	July	Water	Science	NA	3	3	Other"
"NY	Male	Right-Handed	Hockey_(Ice)	1000	September	Water	Physical_education	12	NA	1	Some_college"
"NY	Female	Ambidextrous	Athletics	1000	May	Water	Physical_education	8	1	12	Graduate_degree"
"NY	Female	Right-Handed	Other	438	January	Water	English	8	10	3	Graduate_degree"
"NY	Female	Right-Handed	Walking/Hiking	900	July	Water	Computers_and_technology	6	NA	10	Graduate_degree"
"NY	Female	Right-Handed	Walking/Hiking	743	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	Swimming	825	January	Water	History	9	NA	5	Graduate_degree"
"NY	Male	Right-Handed	Soccer	500	November	Water	English	12	NA	1	Some_college"
"NY	Female	Ambidextrous	Soccer	631	May	Water	Science	8	NA	NA	NA"
"NY	Female	Right-Handed	Swimming	900	May	Water	Physical_education	8	12	2	Graduate_degree"
"NY	Male	Right-Handed	Athletics	700	July	Water	Science	6	NA	7	Graduate_degree"
"NY	Female	NA	Soccer	1000	December	Soft_drink_(caffeinated)	Other	5	5	5	Graduate_degree"
"NY	Male	Right-Handed	Soccer	970	June	Water	Social_studies	9	1	2	Other"
"NY	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	None	825	August	Juice	Science	8	NA	0	Graduate_degree"
"NY	Female	Right-Handed	None	647	March	Water	English	9.5	NA	5	Graduate_degree"
"NY	Male	Right-Handed	Baseball/Softball	500	October	Coffee	NA	7	2	2	Graduate_degree"
"NY	Male	Right-Handed	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	Tennis	866	August	Tea	Science	8	NA	8	Graduate_degree"
"NY	Male	Right-Handed	Football_(American)	1000	September	Water	Physical_education	5	NA	0	Graduate_degree"
"NY	Male	Right-Handed	Martial_Arts	650	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	Baseball/Softball	807	November	Water	Science	10	NA	4	Graduate_degree"
"NY	Female	Right-Handed	Walking/Hiking	604	July	Water	History	9	NA	21	Graduate_degree"
"NY	Male	Right-Handed	Football_(American)	850	November	Water	Science	8.5	NA	1	Undergraduate_degree"
"NY	Male	Right-Handed	Basketball	700	July	Juice	Physical_education	NA	1	2	Some_college"
"NY	Male	Right-Handed	Basketball	500	January	Water	History	13	4	2	Graduate_degree"
"NY	Male	Right-Handed	Tennis	60	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	Walking/Hiking	900	April	Soft_drink_(caffeinated)	History	9	NA	0	Graduate_degree"
"NY	Female	Right-Handed	Baseball/Softball	400	August	Juice	Languages	10	1	3	Graduate_degree"
"NY	Male	Right-Handed	Tennis	684	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	NA	100	April	Water	Other	13	NA	2	Other"
"NY	Male	Ambidextrous	Basketball	900	February	Water	Science	9	30	10	Other"
"NY	Female	Right-Handed	Walking/Hiking	1000	April	Coffee	Science	9	NA	2	Graduate_degree"
"NY	Male	Right-Handed	Basketball	750	November	Water	English	8	NA	2	Undergraduate_degree"
"NY	Female	Right-Handed	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	Basketball	800	December	Water	Social_studies	10	NA	0	Graduate_degree"
"NY	Male	Left-Handed	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	Basketball	1000	January	Juice	Physical_education	9	NA	1	Graduate_degree"
"NY	Male	Right-Handed	Martial_Arts	1000	October	Water	Art	NA	NA	1	Other"
"NY	Female	Right-Handed	Other	1000	June	Soft_drink_(non-caffeinated)	Science	13	1	1	NA"
"NY	Female	Right-Handed	Hockey_(Field)	1000	August	Water	English	9	2	1	Graduate_degree"
"NY	Male	Right-Handed	Walking/Hiking	800	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Left-Handed	Hockey_(Field)	700	April	Water	Languages	9	20	2	Graduate_degree"
"NY	Male	Ambidextrous	Hockey_(Ice)	100	June	Sports_drink	Physical_education	6	1	2	Graduate_degree"
"NY	Male	Left-Handed	Walking/Hiking	1000	November	Water	History	10	5	5	High_school"
"NY	Male	Right-Handed	Soccer	1000	January	Water	Computers_and_technology	10	NA	NA	NA"
"NY	Female	Right-Handed	Martial_Arts	900	April	Tea	Music	11	9	10	Other"
"NY	Male	Right-Handed	Soccer	1	June	Water	Music	9	NA	0.5	Graduate_degree"
"NY	Female	Right-Handed	Walking/Hiking	900	July	Water	Computers_and_technology	6	NA	10	Graduate_degree"
"NY	Female	Right-Handed	Dancing	727	January	Coffee	Social_studies	7	22	2	Undergraduate_degree"
"NY	Male	Left-Handed	Baseball/Softball	0	March	Water	Physical_education	9	NA	10	Undergraduate_degree"
"NY	Male	Right-Handed	Bowling	750	February	Water	History	10	7	5	Graduate_degree"
"NY	Male	Right-Handed	Soccer	797	July	Juice	Mathematics_and_statistics	11	15	2	Graduate_degree"
"NY	Male	Right-Handed	Soccer	465	May	Water	English	9	NA	3	Graduate_degree"
"NY	Male	Right-Handed	Swimming	668	September	Water	Mathematics_and_statistics	9	9	2	Graduate_degree"
"NY	Female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	Other	797	August	Water	Other	10	NA	0	Graduate_degree"
"NY	Female	Right-Handed	Other	807	September	Tea	Art	8	NA	3	Graduate_degree"
"NY	Male	Right-Handed	None	332	August	Water	Other	10	NA	2	Graduate_degree"
"NY	Male	Right-Handed	Running/Jogging	1000	June	Water	Art	8	NA	4	Undergraduate_degree"
"NY	Male	Left-Handed	Athletics	900	January	Water	Science	8	5	2	Undergraduate_degree"
"NY	Female	Right-Handed	Swimming	100	August	Water	History	10	NA	1	Graduate_degree"
"NY	Female	Right-Handed	Walking/Hiking	900	May	Water	English	8	NA	4	Graduate_degree"
"NY	Male	Right-Handed	Other	973	September	Tea	Mathematics_and_statistics	6	NA	0	Graduate_degree"
"NY	Female	Right-Handed	Cycling	750	November	Water	Mathematics_and_statistics	8	NA	5	Graduate_degree"
"NY	Male	Right-Handed	Skateboarding/Rollerblading	700	August	Water	Computers_and_technology	5	NA	0	Graduate_degree"
"NY	Female	Right-Handed	Tennis	1000	January	Water	Art	NA	NA	0	High_school"
"NY	Female	Right-Handed	Soccer	300	March	Milk	Art	NA	10	2	NA"
"NY	Female	Right-Handed	Other	888	June	Water	Art	7	NA	NA	NA"
"NY	Male	Left-Handed	Walking/Hiking	914	August	Water	Science	10	NA	2	Graduate_degree"
"NY	Male	Right-Handed	Basketball	540	October	Milk	Mathematics_and_statistics	11	NA	1	Graduate_degree"
"NY	Male	Right-Handed	Other	904	October	Water	Mathematics_and_statistics	8	25	15	Graduate_degree"
"NY	Female	Right-Handed	Cycling	706	May	Milk	Music	11	NA	1	Graduate_degree"
"NY	Female	Right-Handed	Other	150	July	Juice	Mathematics_and_statistics	5	NA	5	Graduate_degree"
"NY	Female	Right-Handed	Walking/Hiking	1000	May	Water	English	NA	NA	NA	High_school"
"NY	Male	Right-Handed	Football_(American)	600	April	Water	Mathematics_and_statistics	9	NA	0	Graduate_degree"
"NY	Male	Left-Handed	Dancing	700	November	Juice	Music	10	NA	3	Graduate_degree"
"NY	Male	Right-Handed	Other	500	July	Water	Mathematics_and_statistics	9	NA	2	Graduate_degree"
"NY	Female	Right-Handed	Soccer	700	August	Juice	Science	8	34	6	Graduate_degree"
"NY	Female	Right-Handed	Other	950	May	Water	Art	8	NA	5	Graduate_degree"
"NY	Female	Right-Handed	Basketball	1000	December	Water	Mathematics_and_statistics	8	7	3	Graduate_degree"
"NY	Female	Right-Handed	None	899	February	Water	Art	9	NA	3	High_school"
"NY	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	Table_Tennis	1000	September	Other	Computers_and_technology	NA	NA	0	High_school"
"NY	Male	Right-Handed	Basketball	1000	June	Water	Science	4	NA	2	Undergraduate_degree"
"NY	Female	Right-Handed	Swimming	999	June	Water	Computers_and_technology	12	NA	7	Graduate_degree"
"NY	Male	Right-Handed	Walking/Hiking	0	July	Juice	History	9	NA	3	Graduate_degree"
"NY	Female	Right-Handed	Basketball	561	July	Juice	Science	10	NA	1	High_school"
"NY	Female	Right-Handed	Swimming	642	March	Water	Music	9	NA	3	Other"
"NY	Male	Right-Handed	Basketball	700	August	Water	English	10	NA	6	Undergraduate_degree"
"NY	Female	Right-Handed	Athletics	800	October	Water	Languages	8	NA	1	Graduate_degree"
"NY	Male	Right-Handed	Soccer	500	January	Water	Physical_education	10.5	20	1	Graduate_degree"
"NY	Female	Ambidextrous	Other	781	September	Water	Other	9.5	NA	12	Some_college"
"NY	Female	Right-Handed	Swimming	861	May	Water	Art	9	NA	1	Graduate_degree"
"NY	Male	Right-Handed	Basketball	999	April	Water	Physical_education	10	NA	0	Graduate_degree"
"NY	Female	Right-Handed	Other	600	November	Water	English	8	15	0	Some_college"
"NY	Male	Left-Handed	Running/Jogging	500	January	Water	Social_studies	9	NA	3	Graduate_degree"
"NY	Female	Right-Handed	Tennis	717	July	Water	Other	8	NA	2	Other"
"NY	Male	Right-Handed	Walking/Hiking	800	May	Water	Computers_and_technology	7	17	1	Undergraduate_degree"
"NY	Male	Right-Handed	None	1000	January	Water	NA	5	NA	6	Graduate_degree"
"NY	Female	Right-Handed	Dancing	NA	August	Water	Music	8.5	NA	3.5	Undergraduate_degree"
"NY	NA	Right-Handed	Soccer	NA	June	Water	Art	8	16	3	Undergraduate_degree"
"NY	Female	Right-Handed	Basketball	900	March	Water	Science	9	6	3	High_school"
"NY	Female	Right-Handed	Running/Jogging	43	May	Coffee	Physical_education	5	1	1	Graduate_degree"
"NY	Male	Right-Handed	Martial_Arts	800	May	Water	Science	8	30	5	Undergraduate_degree"
"NY	Male	Right-Handed	Soccer	1000	March	Water	Mathematics_and_statistics	9	NA	2	Graduate_degree"
"NY	Male	Right-Handed	Running/Jogging	599	January	Water	History	8	24	2	Graduate_degree"
"NY	Male	Right-Handed	Football_(American)	900	December	Water	Mathematics_and_statistics	9	6	5	Graduate_degree"
"NY	Female	Right-Handed	Swimming	1000	June	Water	Science	8	NA	0	High_school"
