Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
"USA,VA,2015,""12        "",Female,17,Right-Handed,158,25,155,1,Car,15,.3574,39,Swimming,1000,1000,1000,900,700,800,25,""Same length"",70,60,""Index finger"",December,Winter,No,No,Pizza/Pasta,Water,Art,5,13,3,""Yes - broadband connection"",""Text messaging"",30,50,2,0,5,5,0,0,20,20,100,2,0,3,""A lot"",""Graduate degree"",""Punk rock"",Telepathy,Happy,""Musician or singer"",Health"
"USA,VA,2022,""12        "",Female,17,Left-Handed,167,24,172,2,Car,5,0.419,36,Tennis,834,861,524,342,246,786,24,""Same length"",80,75,""Index finger"",May,Fall,Yes,No,Pizza/Pasta,Water,History,8,8,3,""Yes - other"",""In person"",25,30,10,3,6,10,3,0,4,5,9,12,0,4,""A lot"",""Graduate degree"",Reggae,""Freeze time"",Happy,Other,""Wildlife, animals"""
"USA,VA,2020,""12        "",Female,18,Right-Handed,67,22.5,64,1,Car,15,0.521,36,Dancing,888,888,786,781,813,840,22.5,""Same length"",87,87,""Same length"",February,Spring,Yes,No,Fruit,Water,Music,6,10,4,""Yes - broadband connection"",""Myspace, Facebook, other social networking sites, or blog"",2,3,1,1,4,4,0,0,3,3,6,2,0,1,Some,""Graduate degree"",Other,Telepathy,Happy,Other,""Education/Youth development"""
"USA,VA,2011,""12        "",Male,17,Right-Handed,175,25,64,1,Car,7,0.391,32,Running/Jogging,374,508,658,,583,588,25,""Same length"",72,72,""Same length"",April,Fall,Yes,No,Pizza/Pasta,Water,""Mathematics and statistics"",7.5,9,4,""Yes - broadband connection"",""Text messaging"",15,15,18,0,5,10,15,10,10,10,15,20,0,15,Some,""Graduate degree"",Other,Fly,Happy,Relative,Religious"
"USA,VA,2012,""12        "",Male,18,Left-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"USA,VA,2016,""12        "",Male,17,Right-Handed,188,31,100,1,Car,7,,,Athletics,100,100,100,1000,1000,1000,31.5,""Left foot"",20,20,""Same length"",May,Fall,No,No,Meat,Water,""Social studies"",8,8,3,""Yes - broadband connection"",""Text messaging"",25,50,10,,,,,,,,,,,,,,,,,,"
"USA,VA,2015,""11        "",Female,16,Left-Handed,159,22,159,3,Car,11,0.324,62,Athletics,679,508,471,856,952,1000,9.875,""Left foot"",83,77,""Index finger"",March,Winter,Yes,Yes,""Rice/Noodle dishes"",Water,Science,7,9,4,""Yes - broadband connection"",""Text messaging"",5,2,1,1,19,25,10,0,0,2,24,2,0,2,Some,""Graduate degree"",Pop,Invisibility,Healthy,Relative,""International aid"""
"USA,VA,2012,""12        "",Male,16,Right-Handed,191,30,203,2,Car,""15 "",.317,37,Baseball/Softball,300,400,200,600,600,650,30,""Same length"",,,""Same length"",April,Fall,No,No,Meat,Water,Science,9,7.5,4,""Yes - broadband connection"",""Text messaging"",37,38,20,1,5,10,25,1,2,4,7,7,0,3,Some,""Graduate degree"",Pop,Invisibility,Happy,""Business person"",Health"
"USA,VA,2012,""12        "",Male,17,Right-Handed,177,30,177,1,Car,5,0.295,30,Walking/Hiking,500,500,500,500,500,500,30,""Same length"",80,85,""Ring finger"",August,Fall,No,No,Poultry,""Sports drink"",""Physical education"",7,7,3,""Yes - broadband connection"",""Cell phone"",3,3,35,1,0,10,7,7,0,1,3,14,0,15,None,""High school"",""Heavy metal"",""Freeze time"",Happy,Relative,Other"
"USA,VA,2015,""12        "",Male,16,Right-Handed,5.7,11,68,1,Skateboard/Scooter/Rollerblade,15,0.274,78,Other,150,10,1000,1000,0,15,11.5,""Left foot"",9,8,""Ring finger"",September,Summer,Yes,No,""No favorite"",Water,History,6,6,2,""Yes - broadband connection"",""Text messaging"",5,3,0,0,0,1,0,6,24,24,24,2,5,1,""A lot"",Other,Other,""Freeze time"",Happy,Other,""Education/Youth development"""
